"regione","codice_ateco","descrizione_ateco","numero_imprese"
"CALABRIA","B","B Estrazione di minerali da cave e miniere","138"
"CALABRIA","C","C Attivita' manifatturiere","11514"
"CALABRIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","293"
"CALABRIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","331"
"CALABRIA","F","F Costruzioni","19687"
"CALABRIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","54499"
"CALABRIA","H","H Trasporto e magazzinaggio","3775"
"CALABRIA","I","I Attivita' dei servizi di alloggio e di ristorazione","12757"
"CALABRIA","J","J Servizi di informazione e comunicazione","2800"
"CALABRIA","K","K Attivita' finanziarie e assicurative","3047"
"CALABRIA","L","L Attivita' immobiliari","1834"
"CALABRIA","M","M Attivita' professionali, scientifiche e tecniche","4235"
"CALABRIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","4100"
"CALABRIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","0"
"CALABRIA","P","P Istruzione","1017"
"CALABRIA","Q","Q Sanita' e assistenza sociale","1278"
"CALABRIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","2233"
"CALABRIA","S","S Altre attivita' di servizi","6970"
"CALABRIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"CALABRIA","U","U Organizzazioni ed organismi extraterritoriali","0"
"CALABRIA","X","X Imprese non classificate","71"
"CAMPANIA","A","A Agricoltura, silvicoltura e pesca","58637"
"CAMPANIA","B","B Estrazione di minerali da cave e miniere","184"
"CAMPANIA","C","C Attivita' manifatturiere","39369"
"CAMPANIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","697"
"CAMPANIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","1081"
"CAMPANIA","F","F Costruzioni","66288"
"CAMPANIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","185394"
"CAMPANIA","H","H Trasporto e magazzinaggio","14270"
"CAMPANIA","I","I Attivita' dei servizi di alloggio e di ristorazione","40106"
"CAMPANIA","J","J Servizi di informazione e comunicazione","10513"
"CAMPANIA","K","K Attivita' finanziarie e assicurative","9987"
"CAMPANIA","L","L Attivita' immobiliari","11098"
"CAMPANIA","M","M Attivita' professionali, scientifiche e tecniche","15198"
"CAMPANIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","17123"
"CAMPANIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","12"
"CAMPANIA","P","P Istruzione","3461"
"CAMPANIA","Q","Q Sanita' e assistenza sociale","4326"
"CAMPANIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","7283"
"CAMPANIA","S","S Altre attivita' di servizi","21103"
"CAMPANIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","3"
"CAMPANIA","U","U Organizzazioni ed organismi extraterritoriali","0"
"CAMPANIA","X","X Imprese non classificate","468"
"EMILIA-ROMAGNA","A","A Agricoltura, silvicoltura e pesca","53975"
"EMILIA-ROMAGNA","B","B Estrazione di minerali da cave e miniere","128"
"EMILIA-ROMAGNA","C","C Attivita' manifatturiere","42007"
"EMILIA-ROMAGNA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","810"
"EMILIA-ROMAGNA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","613"
"EMILIA-ROMAGNA","F","F Costruzioni","66804"
"EMILIA-ROMAGNA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","87565"
"EMILIA-ROMAGNA","H","H Trasporto e magazzinaggio","12912"
"EMILIA-ROMAGNA","I","I Attivita' dei servizi di alloggio e di ristorazione","30236"
"EMILIA-ROMAGNA","J","J Servizi di informazione e comunicazione","9343"
"EMILIA-ROMAGNA","K","K Attivita' finanziarie e assicurative","9463"
"EMILIA-ROMAGNA","L","L Attivita' immobiliari","27582"
"EMILIA-ROMAGNA","M","M Attivita' professionali, scientifiche e tecniche","17007"
"EMILIA-ROMAGNA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","13265"
"EMILIA-ROMAGNA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","6"
"EMILIA-ROMAGNA","P","P Istruzione","1879"
"EMILIA-ROMAGNA","Q","Q Sanita' e assistenza sociale","2637"
"EMILIA-ROMAGNA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","6147"
"EMILIA-ROMAGNA","S","S Altre attivita' di servizi","18214"
"EMILIA-ROMAGNA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","1"
"EMILIA-ROMAGNA","U","U Organizzazioni ed organismi extraterritoriali","0"
"EMILIA-ROMAGNA","X","X Imprese non classificate","86"
"FRIULI-VENEZIA GIULIA","A","A Agricoltura, silvicoltura e pesca","13025"
"FRIULI-VENEZIA GIULIA","B","B Estrazione di minerali da cave e miniere","56"
"FRIULI-VENEZIA GIULIA","C","C Attivita' manifatturiere","8787"
"FRIULI-VENEZIA GIULIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","209"
"FRIULI-VENEZIA GIULIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","175"
"FRIULI-VENEZIA GIULIA","F","F Costruzioni","13850"
"FRIULI-VENEZIA GIULIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","19281"
"FRIULI-VENEZIA GIULIA","H","H Trasporto e magazzinaggio","2245"
"FRIULI-VENEZIA GIULIA","I","I Attivita' dei servizi di alloggio e di ristorazione","7964"
"FRIULI-VENEZIA GIULIA","J","J Servizi di informazione e comunicazione","2336"
"FRIULI-VENEZIA GIULIA","K","K Attivita' finanziarie e assicurative","2142"
"FRIULI-VENEZIA GIULIA","L","L Attivita' immobiliari","4861"
"FRIULI-VENEZIA GIULIA","M","M Attivita' professionali, scientifiche e tecniche","3828"
"FRIULI-VENEZIA GIULIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","2699"
"FRIULI-VENEZIA GIULIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","4"
"FRIULI-VENEZIA GIULIA","P","P Istruzione","437"
"FRIULI-VENEZIA GIULIA","Q","Q Sanita' e assistenza sociale","566"
"FRIULI-VENEZIA GIULIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","1177"
"FRIULI-VENEZIA GIULIA","S","S Altre attivita' di servizi","5002"
"FRIULI-VENEZIA GIULIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"FRIULI-VENEZIA GIULIA","U","U Organizzazioni ed organismi extraterritoriali","0"
"FRIULI-VENEZIA GIULIA","X","X Imprese non classificate","29"
"LAZIO","A","A Agricoltura, silvicoltura e pesca","41796"
"LAZIO","B","B Estrazione di minerali da cave e miniere","231"
"LAZIO","C","C Attivita' manifatturiere","26158"
"LAZIO","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","895"
"LAZIO","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","844"
"LAZIO","F","F Costruzioni","74330"
"LAZIO","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","129784"
"LAZIO","H","H Trasporto e magazzinaggio","16648"
"LAZIO","I","I Attivita' dei servizi di alloggio e di ristorazione","42450"
"LAZIO","J","J Servizi di informazione e comunicazione","17741"
"LAZIO","K","K Attivita' finanziarie e assicurative","12768"
"LAZIO","L","L Attivita' immobiliari","22940"
"LAZIO","M","M Attivita' professionali, scientifiche e tecniche","22498"
"LAZIO","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","29524"
"LAZIO","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","10"
"LAZIO","P","P Istruzione","3430"
"LAZIO","Q","Q Sanita' e assistenza sociale","4688"
"LAZIO","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","7867"
"LAZIO","S","S Altre attivita' di servizi","25045"
"LAZIO","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","2"
"LAZIO","U","U Organizzazioni ed organismi extraterritoriali","2"
"LAZIO","X","X Imprese non classificate","335"
"LIGURIA","A","A Agricoltura, silvicoltura e pesca","9613"
"LIGURIA","B","B Estrazione di minerali da cave e miniere","61"
"LIGURIA","C","C Attivita' manifatturiere","9745"
"LIGURIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","127"
"LIGURIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","235"
"LIGURIA","F","F Costruzioni","27348"
"LIGURIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","35821"
"LIGURIA","H","H Trasporto e magazzinaggio","4659"
"LIGURIA","I","I Attivita' dei servizi di alloggio e di ristorazione","14696"
"LIGURIA","J","J Servizi di informazione e comunicazione","2734"
"LIGURIA","K","K Attivita' finanziarie e assicurative","3619"
"LIGURIA","L","L Attivita' immobiliari","7761"
"LIGURIA","M","M Attivita' professionali, scientifiche e tecniche","4586"
"LIGURIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","5310"
"LIGURIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","2"
"LIGURIA","P","P Istruzione","615"
"LIGURIA","Q","Q Sanita' e assistenza sociale","806"
"LIGURIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","2341"
"LIGURIA","S","S Altre attivita' di servizi","6347"
"LIGURIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"LIGURIA","U","U Organizzazioni ed organismi extraterritoriali","0"
"LIGURIA","X","X Imprese non classificate","43"
"LOMBARDIA","A","A Agricoltura, silvicoltura e pesca","43658"
"LOMBARDIA","B","B Estrazione di minerali da cave e miniere","327"
"LOMBARDIA","C","C Attivita' manifatturiere","89288"
"LOMBARDIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","2226"
"LOMBARDIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","1443"
"LOMBARDIA","F","F Costruzioni","131237"
"LOMBARDIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","185851"
"LOMBARDIA","H","H Trasporto e magazzinaggio","25866"
"LOMBARDIA","I","I Attivita' dei servizi di alloggio e di ristorazione","55142"
"LOMBARDIA","J","J Servizi di informazione e comunicazione","27634"
"LOMBARDIA","K","K Attivita' finanziarie e assicurative","27908"
"LOMBARDIA","L","L Attivita' immobiliari","69069"
"LOMBARDIA","M","M Attivita' professionali, scientifiche e tecniche","52994"
"LOMBARDIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","38429"
"LOMBARDIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","22"
"LOMBARDIA","P","P Istruzione","5199"
"LOMBARDIA","Q","Q Sanita' e assistenza sociale","7031"
"LOMBARDIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","10575"
"LOMBARDIA","S","S Altre attivita' di servizi","40185"
"LOMBARDIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","4"
"LOMBARDIA","U","U Organizzazioni ed organismi extraterritoriali","3"
"LOMBARDIA","X","X Imprese non classificate","665"
"MARCHE","A","A Agricoltura, silvicoltura e pesca","24986"
"MARCHE","B","B Estrazione di minerali da cave e miniere","75"
"MARCHE","C","C Attivita' manifatturiere","18154"
"MARCHE","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","482"
"MARCHE","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","285"
"MARCHE","F","F Costruzioni","19615"
"MARCHE","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","33936"
"MARCHE","H","H Trasporto e magazzinaggio","3609"
"MARCHE","I","I Attivita' dei servizi di alloggio e di ristorazione","9908"
"MARCHE","J","J Servizi di informazione e comunicazione","2987"
"MARCHE","K","K Attivita' finanziarie e assicurative","3223"
"MARCHE","L","L Attivita' immobiliari","7524"
"MARCHE","M","M Attivita' professionali, scientifiche e tecniche","5628"
"MARCHE","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","4388"
"MARCHE","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","3"
"MARCHE","P","P Istruzione","616"
"MARCHE","Q","Q Sanita' e assistenza sociale","887"
"MARCHE","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","2313"
"MARCHE","S","S Altre attivita' di servizi","6942"
"MARCHE","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"MARCHE","U","U Organizzazioni ed organismi extraterritoriali","0"
"MARCHE","X","X Imprese non classificate","48"
"MOLISE","A","A Agricoltura, silvicoltura e pesca","9348"
"MOLISE","B","B Estrazione di minerali da cave e miniere","13"
"MOLISE","C","C Attivita' manifatturiere","2088"
"MOLISE","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","70"
"MOLISE","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","75"
"MOLISE","F","F Costruzioni","3821"
"MOLISE","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","6886"
"MOLISE","H","H Trasporto e magazzinaggio","774"
"MOLISE","I","I Attivita' dei servizi di alloggio e di ristorazione","2162"
"MOLISE","J","J Servizi di informazione e comunicazione","450"
"MOLISE","K","K Attivita' finanziarie e assicurative","569"
"MOLISE","L","L Attivita' immobiliari","529"
"MOLISE","M","M Attivita' professionali, scientifiche e tecniche","911"
"MOLISE","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","886"
"MOLISE","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","0"
"MOLISE","P","P Istruzione","173"
"MOLISE","Q","Q Sanita' e assistenza sociale","238"
"MOLISE","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","337"
"MOLISE","S","S Altre attivita' di servizi","1296"
"MOLISE","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"MOLISE","U","U Organizzazioni ed organismi extraterritoriali","0"
"MOLISE","X","X Imprese non classificate","5"
"PIEMONTE","A","A Agricoltura, silvicoltura e pesca","49907"
"PIEMONTE","B","B Estrazione di minerali da cave e miniere","165"
"PIEMONTE","C","C Attivita' manifatturiere","34981"
"PIEMONTE","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","1204"
"PIEMONTE","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","671"
"PIEMONTE","F","F Costruzioni","60463"
"PIEMONTE","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","90105"
"PIEMONTE","H","H Trasporto e magazzinaggio","8939"
"PIEMONTE","I","I Attivita' dei servizi di alloggio e di ristorazione","25954"
"PIEMONTE","J","J Servizi di informazione e comunicazione","8441"
"PIEMONTE","K","K Attivita' finanziarie e assicurative","10728"
"PIEMONTE","L","L Attivita' immobiliari","29418"
"PIEMONTE","M","M Attivita' professionali, scientifiche e tecniche","16567"
"PIEMONTE","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","15573"
"PIEMONTE","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","4"
"PIEMONTE","P","P Istruzione","2326"
"PIEMONTE","Q","Q Sanita' e assistenza sociale","2552"
"PIEMONTE","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","4510"
"PIEMONTE","S","S Altre attivita' di servizi","19492"
"PIEMONTE","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","15"
"PIEMONTE","U","U Organizzazioni ed organismi extraterritoriali","0"
"PIEMONTE","X","X Imprese non classificate","169"
"PUGLIA","A","A Agricoltura, silvicoltura e pesca","77482"
"PUGLIA","B","B Estrazione di minerali da cave e miniere","227"
"PUGLIA","C","C Attivita' manifatturiere","24438"
"PUGLIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","746"
"PUGLIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","738"
"PUGLIA","F","F Costruzioni","40431"
"PUGLIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","96938"
"PUGLIA","H","H Trasporto e magazzinaggio","8065"
"PUGLIA","I","I Attivita' dei servizi di alloggio e di ristorazione","24308"
"PUGLIA","J","J Servizi di informazione e comunicazione","5461"
"PUGLIA","K","K Attivita' finanziarie e assicurative","5888"
"PUGLIA","L","L Attivita' immobiliari","5955"
"PUGLIA","M","M Attivita' professionali, scientifiche e tecniche","9073"
"PUGLIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","8905"
"PUGLIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","1"
"PUGLIA","P","P Istruzione","1800"
"PUGLIA","Q","Q Sanita' e assistenza sociale","2965"
"PUGLIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","4315"
"PUGLIA","S","S Altre attivita' di servizi","14812"
"PUGLIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","2"
"PUGLIA","U","U Organizzazioni ed organismi extraterritoriali","0"
"PUGLIA","X","X Imprese non classificate","148"
"SARDEGNA","A","A Agricoltura, silvicoltura e pesca","34987"
"SARDEGNA","B","B Estrazione di minerali da cave e miniere","163"
"SARDEGNA","C","C Attivita' manifatturiere","9734"
"SARDEGNA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","138"
"SARDEGNA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","333"
"SARDEGNA","F","F Costruzioni","20144"
"SARDEGNA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","36357"
"SARDEGNA","H","H Trasporto e magazzinaggio","4016"
"SARDEGNA","I","I Attivita' dei servizi di alloggio e di ristorazione","13443"
"SARDEGNA","J","J Servizi di informazione e comunicazione","2811"
"SARDEGNA","K","K Attivita' finanziarie e assicurative","2326"
"SARDEGNA","L","L Attivita' immobiliari","2885"
"SARDEGNA","M","M Attivita' professionali, scientifiche e tecniche","3312"
"SARDEGNA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","5035"
"SARDEGNA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","0"
"SARDEGNA","P","P Istruzione","710"
"SARDEGNA","Q","Q Sanita' e assistenza sociale","1227"
"SARDEGNA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","1569"
"SARDEGNA","S","S Altre attivita' di servizi","5795"
"SARDEGNA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"SARDEGNA","U","U Organizzazioni ed organismi extraterritoriali","0"
"SARDEGNA","X","X Imprese non classificate","40"
"SICILIA","A","A Agricoltura, silvicoltura e pesca","80358"
"SICILIA","B","B Estrazione di minerali da cave e miniere","373"
"SICILIA","C","C Attivita' manifatturiere","27431"
"SICILIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","724"
"SICILIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","1085"
"SICILIA","F","F Costruzioni","44765"
"SICILIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","117643"
"SICILIA","H","H Trasporto e magazzinaggio","10284"
"SICILIA","I","I Attivita' dei servizi di alloggio e di ristorazione","28045"
"SICILIA","J","J Servizi di informazione e comunicazione","7462"
"SICILIA","K","K Attivita' finanziarie e assicurative","7765"
"SICILIA","L","L Attivita' immobiliari","6073"
"SICILIA","M","M Attivita' professionali, scientifiche e tecniche","9899"
"SICILIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","11764"
"SICILIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","3"
"SICILIA","P","P Istruzione","2973"
"SICILIA","Q","Q Sanita' e assistenza sociale","5451"
"SICILIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","5222"
"SICILIA","S","S Altre attivita' di servizi","14843"
"SICILIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","2"
"SICILIA","U","U Organizzazioni ed organismi extraterritoriali","1"
"SICILIA","X","X Imprese non classificate","307"
"TOSCANA","A","A Agricoltura, silvicoltura e pesca","39097"
"TOSCANA","B","B Estrazione di minerali da cave e miniere","258"
"TOSCANA","C","C Attivita' manifatturiere","44309"
"TOSCANA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","561"
"TOSCANA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","702"
"TOSCANA","F","F Costruzioni","52689"
"TOSCANA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","86376"
"TOSCANA","H","H Trasporto e magazzinaggio","8309"
"TOSCANA","I","I Attivita' dei servizi di alloggio e di ristorazione","28301"
"TOSCANA","J","J Servizi di informazione e comunicazione","7984"
"TOSCANA","K","K Attivita' finanziarie e assicurative","8195"
"TOSCANA","L","L Attivita' immobiliari","23033"
"TOSCANA","M","M Attivita' professionali, scientifiche e tecniche","11700"
"TOSCANA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","13592"
"TOSCANA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","6"
"TOSCANA","P","P Istruzione","1675"
"TOSCANA","Q","Q Sanita' e assistenza sociale","1658"
"TOSCANA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","5510"
"TOSCANA","S","S Altre attivita' di servizi","16216"
"TOSCANA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"TOSCANA","U","U Organizzazioni ed organismi extraterritoriali","0"
"TOSCANA","X","X Imprese non classificate","176"
"TRENTINO-ALTO ADIGE","A","A Agricoltura, silvicoltura e pesca","28244"
"TRENTINO-ALTO ADIGE","B","B Estrazione di minerali da cave e miniere","83"
"TRENTINO-ALTO ADIGE","C","C Attivita' manifatturiere","7294"
"TRENTINO-ALTO ADIGE","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","1708"
"TRENTINO-ALTO ADIGE","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","150"
"TRENTINO-ALTO ADIGE","F","F Costruzioni","13782"
"TRENTINO-ALTO ADIGE","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","15400"
"TRENTINO-ALTO ADIGE","H","H Trasporto e magazzinaggio","2639"
"TRENTINO-ALTO ADIGE","I","I Attivita' dei servizi di alloggio e di ristorazione","12385"
"TRENTINO-ALTO ADIGE","J","J Servizi di informazione e comunicazione","2407"
"TRENTINO-ALTO ADIGE","K","K Attivita' finanziarie e assicurative","1680"
"TRENTINO-ALTO ADIGE","L","L Attivita' immobiliari","4682"
"TRENTINO-ALTO ADIGE","M","M Attivita' professionali, scientifiche e tecniche","4471"
"TRENTINO-ALTO ADIGE","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","2826"
"TRENTINO-ALTO ADIGE","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","0"
"TRENTINO-ALTO ADIGE","P","P Istruzione","692"
"TRENTINO-ALTO ADIGE","Q","Q Sanita' e assistenza sociale","407"
"TRENTINO-ALTO ADIGE","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","892"
